Global Variable Usage Frequency (All Globals)
================================================================================

DAT_100166f8         :    2 uses
DAT_100166fc         :    2 uses
DAT_10016700         :    2 uses
DAT_10017600         :    2 uses
DAT_100175fc         :    2 uses
DAT_1000ae90         :    2 uses
DAT_1000ae94         :    2 uses
DAT_1000ae98         :    2 uses
DAT_100174f0         :    2 uses
DAT_100174c4         :    2 uses
DAT_100174c8         :    2 uses
DAT_1001752c         :    2 uses
DAT_10017534         :    2 uses
DAT_10016bd1         :    2 uses
DAT_10016bd4         :    2 uses
DAT_10016bd7         :    2 uses
DAT_1001749c         :    2 uses
DAT_10017496         :    2 uses
DAT_10006e58         :    2 uses
DAT_1000b46c         :    2 uses
DAT_1000b4a0         :    2 uses
DAT_10006e94         :    2 uses
DAT_100175f0         :    2 uses
DAT_10006ed4         :    2 uses
DAT_10006edc         :    2 uses
DAT_10006ee4         :    2 uses
DAT_10006ecc         :    2 uses
DAT_1000ba54         :    2 uses
DAT_10006f00         :    2 uses
DAT_10007010         :    2 uses
DAT_10007014         :    2 uses
DAT_1000701c         :    2 uses
DAT_10007018         :    2 uses
DAT_10007000         :    2 uses
DAT_10007004         :    2 uses
DAT_1000700c         :    2 uses
DAT_10007008         :    2 uses
DAT_10006fa4         :    2 uses
DAT_10006fac         :    2 uses
DAT_10006fa8         :    2 uses
DAT_10006fb4         :    2 uses
DAT_10006fbc         :    2 uses
DAT_10006fb8         :    2 uses
DAT_10006fc0         :    2 uses
DAT_10006fc4         :    2 uses
DAT_10006fcc         :    2 uses
DAT_10006fc8         :    2 uses
DAT_10006fd0         :    2 uses
DAT_10006fd4         :    2 uses
DAT_10006fdc         :    2 uses
DAT_10006fd8         :    2 uses
DAT_10006fe0         :    2 uses
DAT_10006fe4         :    2 uses
DAT_10006fec         :    2 uses
DAT_10006fe8         :    2 uses
DAT_10006ff0         :    2 uses
DAT_10006ff4         :    2 uses
DAT_10006ffc         :    2 uses
DAT_10006ff8         :    2 uses
DAT_10007020         :    2 uses
DAT_1000702c         :    2 uses
DAT_10017528         :    2 uses
DAT_100078fc         :    2 uses
DAT_100175c8         :    2 uses
DAT_100175c0         :    2 uses
DAT_100175d0         :    2 uses
DAT_100175f4         :    2 uses
DAT_1001761c         :    2 uses
DAT_10017620         :    2 uses
DAT_10017624         :    2 uses
DAT_10017628         :    2 uses
DAT_1001762c         :    2 uses
DAT_10017630         :    2 uses
DAT_10017634         :    2 uses
DAT_10007908         :    2 uses
DAT_10007928         :    2 uses
DAT_100174b6         :    2 uses
DAT_1000e928         :    2 uses
DAT_1000e930         :    2 uses
DAT_10016e00         :    2 uses
DAT_10012c44         :    2 uses
